backlog_id,upgrade_group,upgrade_title,priority_level,current_v1_status,target_v2_state,description,dependency,recommended_output,status
V2BL_001,labor_engine,Build hourly loaded therapist labor cost engine,critical,proxy_first_only,assumption_driven_labor_cost,"Replace proxy labor cost with hourly loaded therapist cost logic derived from wage floor, selected salary anchor, payroll burden treatment, and practical payable hours basis.",salary_calibrated_cost_inputs.csv; official snapshots; benchmark decision layer,loaded_therapist_hourly_cost_engine.csv,open
V2BL_002,payroll_logic,Break out SSC logic by wage band and worker category,critical,embedded_in_proxy,explicit_ssc_formula_layer,Translate Malta employer SSC into explicit model logic so payroll burden is computed systematically instead of remaining documentation-only.,malta_employer_ssc_2026_source_snapshot.csv; labor engine,ssc_formula_policy_table.csv,open
V2BL_003,rent_engine,Build rent absorption logic from commercial rent benchmark,critical,proxy_first_only,sqm_and_capacity_absorption_logic,Replace proxy overhead allocation with rent-per-sqm and space-utilization-based absorption logic using selected occupancy assumptions.,malta_commercial_rent_benchmark_source_snapshot.csv; treatment capacity assumptions,rent_absorption_engine.csv,open
V2BL_008,benchmark_refinement,Tighten therapist salary benchmark role fit,high,provisionally_accepted_role_adjacent,spa_therapist_specific_salary_basis,Find Malta spa therapist or massage therapist compensation evidence to reduce reliance on beautician-adjacent benchmark logic.,pricing_benchmark_capture_tracker.csv; benchmark decision layer,malta_spa_therapist_salary_benchmark_snapshot.csv,open
V2BL_009,benchmark_refinement,Refine rent benchmark to spa-suitable premises,high,listing_derived_general_market,spa_suitable_rent_band,"Capture comparables that better reflect spa-suitable units by location, size, frontage, and operating suitability.",pricing_benchmark_capture_tracker.csv; rent engine,malta_spa_suitable_rent_benchmark_snapshot.csv,open
V2BL_004,capacity_logic,Formalize productive utilization assumption layer,high,placeholder_only,explicit_utilization_driver,Create explicit utilization policy for therapist productivity and capacity absorption rather than keeping it as a blank placeholder.,pricing_actual_cost_input_sheet.csv; labor engine; rent engine,utilization_assumption_policy.csv,open
V2BL_005,material_costing,Replace proxy material cost with treatment-level consumable cost,high,proxy_first_only,true_material_cost_layer,Build treatment-level consumable and product cost assumptions so material cost is no longer proxy-only.,treatment menu spine; future raw material research,treatment_material_cost_assumptions.csv,open
V2BL_012,model_governance,Create v2 formula map and dependency register,medium,implicit_across_files,explicit_formula_governance,"Document file dependencies, formula ownership, and model flow for assumption-driven economics v2.",all current v1 and future v2 files,economics_v2_formula_dependency_register.csv,open
V2BL_007,operations_logic,Add room turnover and reset buffer to treatment economics,medium,placeholder_only,operational_time_adjusted_capacity,Incorporate room turnover buffer and service reset time so treatment economics reflect realistic operational throughput.,pricing_actual_cost_input_sheet.csv; treatment spine,treatment_operational_buffer_policy.csv,open
V2BL_010,reporting_refinement,Correct executive cost profile classifier,medium,classifier_needs_refinement,accurate_material_vs_labor_profile_labels,Rebuild cost profile classifier in executive summary so labor-led and material-led labels reflect actual proxy inputs correctly.,economics_v1_executive_summary.csv,economics_summary_classifier_policy.csv,open
V2BL_011,scenario_engine,Activate low and high scenario economics,medium,base_case_only,multi_scenario_model,"Enable low/base/high cases after labor, overhead, and utilization assumptions are formalized sufficiently.",labor engine; rent engine; utilization policy; material costing,treatment_economics_v2_scenario_engine.csv,open
V2BL_006,vat_logic,Formalize inclusive versus exclusive VAT treatment,medium,document_only,explicit_vat_conversion_logic,Lock whether menu pricing is treated as VAT-inclusive or VAT-exclusive and introduce a formal conversion layer where needed.,malta_vat_rate_source_snapshot.csv; pricing basis policy,vat_basis_policy_table.csv,open
