dataset_group,dataset_id,dataset_name,dataset_type,source_scope,geography,time_coverage,granularity,status,local_file_name,key_fields_or_metrics,intended_use,priority_level,notes
official_reference,SRC_001,Malta minimum wage 2026,official_reference,country,Malta,2026,national,identified,,"minimum weekly wage, COLA",labor floor reference,high,"Use as official wage floor, not as full therapist pay benchmark"
official_reference,SRC_002,Employer social security contribution rate,official_reference,country,Malta,2026,national,identified,,employer SSC rate,payroll burden modeling,high,Needed for loaded labor cost
official_reference,SRC_003,VAT rate Malta,official_reference,country,Malta,2026,national,identified,,standard VAT rate,gross-to-net service price conversion,high,Needed to convert menu price incl/ex VAT
market_benchmark,SRC_004,Therapist / beautician salary benchmark,market_benchmark,job_market,Malta,2025-2026,role-level,partial,,"monthly salary, annual salary",therapist pay calibration,high,Need better benchmark than general minimum wage
market_benchmark,SRC_005,Spa manager salary benchmark,market_benchmark,job_market,Malta,2025-2026,role-level,partial,,"monthly salary, annual salary",management payroll context,medium,Useful for fuller staffing model later
market_benchmark,SRC_006,Commercial rent / occupancy benchmark,market_benchmark,property_market,Malta,2025-2026,site-level,missing,,"monthly rent, sqm cost",fixed overhead calibration,high,Still missing; currently modeled as assumption
operating_assumption,SRC_007,Paid hours and productive utilization assumptions,working_assumption,internal_model,Malta,current model,staff-level,active_assumption,pricing_actual_cost_assumptions.csv,"paid_hours_per_month, productive_utilization",therapist labor cost per productive hour,high,Can be replaced later by real schedule/sales data
treatment_cost_assumption,SRC_008,Treatment consumable cost assumptions,working_assumption,internal_model,Malta,current model,treatment-level,active_assumption,pricing_actual_cost_assumptions.csv,consumable cost by treatment type and duration,unit economics build-up,high,Needs later replacement with supplier/product BOM data
operating_assumption,SRC_009,Target treatments per month assumption,working_assumption,internal_model,Malta,current model,site-level,active_assumption,pricing_actual_cost_assumptions.csv,monthly treatment count,fixed overhead allocation per treatment,high,Strong driver of minimum viable price
pricing_output,SRC_010,Launch menu recommendation output,model_output,internal_model,Malta,current model,treatment-level,ready,launch_menu_recommendation.csv,"launch price, launch bucket, margin proxy",base pricing output reference,medium,Feeds next-stage actual unit economics
