scene_no,scene_title,visual_focus,voiceover_line,management_point,estimated_duration_sec
1,Opening Portfolio Positioning,Title screen with Malta spa network framing and commercial-operational management theme,This portfolio presents a seven-outlet Malta spa network through a commercial and operational management lens.,"Position the work as Spa Manager portfolio, not pure analytics.",12
2,Network Time Horizon,Timeline from 2017-01 to 2025-12 with business regime markers,"The scenario horizon spans baseline growth, shock, recovery, normalization, and stronger market conditions.","Show multi-year strategic reading, not single-period reporting.",15
3,Portfolio Segmentation Logic,"Four identity buckets: growth-ready, seasonal conversion play, team-strain, leakage-risk",Each outlet is read as a distinct management story rather than treated as an identical operating unit.,Emphasize management interpretation framework.,18
4,Outlet Read - Central Malta Spa,"Central Malta Spa identity card with primary identity, one-line summary, and management priorities",High-potential flagship with scalable commercial upside if execution quality stays disciplined.,Scale commercial upside without losing execution discipline.,18
5,Outlet Read - Gozo Spa,"Gozo Spa identity card with primary identity, one-line summary, and management priorities",Growth-capable destination outlet with upside that should be managed with awareness of seasonal demand shape.,Capture growth while managing seasonal demand shape carefully.,18
6,Outlet Read - Mellieha Spa,"Mellieha Spa identity card with primary identity, one-line summary, and management priorities",Seasonal demand-led outlet where stronger conversion discipline can turn traffic windows into higher value.,Turn seasonal traffic into stronger conversion and yield quality.,18
7,Outlet Read - Qawra / St Paul's Bay Spa,"Qawra / St Paul's Bay Spa identity card with primary identity, one-line summary, and management priorities",Operationally pressured outlet that needs workforce stabilization before pushing harder on growth.,Stabilize workforce pressure before pushing harder on growth.,18
8,Outlet Read - Sliema / Balluta Spa,"Sliema / Balluta Spa identity card with primary identity, one-line summary, and management priorities","Commercially attractive outlet with room to grow, provided delivery consistency is protected.",Protect delivery consistency while expanding monetization quality.,18
9,Outlet Read - St Julian's / Paceville Spa,"St Julian's / Paceville Spa identity card with primary identity, one-line summary, and management priorities",High-demand dual-risk outlet where commercial leakage and team pressure must be managed together.,Fix value leakage while controlling team pressure in a high-demand environment.,18
10,Outlet Read - Valletta Spa,"Valletta Spa identity card with primary identity, one-line summary, and management priorities",Tourist-facing growth outlet where conversion quality and timing discipline can unlock stronger returns.,Maximize tourist demand windows with stronger conversion timing and discipline.,18
11,Management Action Logic,Summary slide linking identity types to commercial and operational actions,The real value of this framework is that each outlet reading leads directly to practical management priorities.,Translate interpretation into action.,20
12,Closing Positioning,Closing screen with portfolio value statement,"This portfolio demonstrates not only analytical structure, but managerial judgment in reading growth, leakage, seasonality, and team pressure across a multi-outlet spa network.",Reinforce Spa Manager readiness.,15
