outlet_name_final,address_raw,opening_hours_raw,treatment_examples_raw,price_eur_min,price_eur_max,price_eur_raw,rating,review_count,facilities_raw,contact_raw,matched_source_count,enrich_source_urls
66 Saint Paul's & Spa,,,,,,,,,,,0,
AX Odycy Spa,,,,,,,,,,,0,
Carisma Spa & Wellness,,,,,,,,,,,0,
Carisma Spa Malta,,,,,,,,1.0,,,0,
DoubleTree by Hilton Malta,,,,,,,,,,,0,
Essensi Spa,,,,,,,,,,,0,
Grand Hotel Excelsior Spa,,,,,,,,,,,0,
Hilton Malta,,,,,,,,,,,0,
Hugo's H Hotel Spa,,,,,,,,,,,0,
Hyatt Regency Malta Spa,,,,,,,,,,,0,
InterContinental Malta,,,,,,,,,,,0,
Malta Marriott Resort & Spa,,,,,,,,,,,0,
Novotel Malta Sliema Spa,,,,,,,,,,,0,
"Radisson Blu Resort & Spa, Malta Golden Sands",,,,,,,,,,,0,
Ramla Bay Resort Spa,,,,,,,,,,,0,
Riviera Spa Resort,,,,,,,,,,,0,
Salini Resort Spa,,,,,,,,,,,0,
