freq,unit,tra_meas,schedule,tra_cov,geo\TIME_PERIOD	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,T,FRM_LD_NLD,TOT,TOTAL,AT	217785 	216621 	223421.2 	227642.8 	237700.6 	228223.4 	165013.2 	194820.2 	188182.2 	190293.5 	227789.7 	: 
A,T,FRM_LD_NLD,TOT,TOTAL,BA	: 	: 	: 	: 	: 	: 	: 	11518.7 	16195 	17709 	21.3 	: 
A,T,FRM_LD_NLD,TOT,TOTAL,BE	1014585.6 	1126234.1 	1088734 	1251173 	1416428 	1397513 	1584640 	2083632 	1729332 	1519106 	1714465 	: 
A,T,FRM_LD_NLD,TOT,TOTAL,BG	23072.8 	31520 	32976.9 	34806.7 	29867.3 	28748.6 	25844 	25686 	26457 	21957.3 	22481.2 	22729.3 
A,T,FRM_LD_NLD,TOT,TOTAL,CH	407703.6 	401924.6 	428495.5 	486164.2 	493201.9 	459877 	272379.7 	341402.7 	364308.2 	359198.5 	411705.4 	412191.1 
A,T,FRM_LD_NLD,TOT,TOTAL,CY	28095 	27626.2 	28430 	30880.4 	32186.1 	32360.1 	24006.6 	25149.5 	25141.9 	26529.4 	31851.4 	: 
A,T,FRM_LD_NLD,TOT,TOTAL,CZ	58312 	58445 	77704 	89278.5 	90525.8 	93669.1 	71095.4 	92726.4 	73300.5 	68786.7 	98827.1 	: 
A,T,FRM_LD_NLD,TOT,TOTAL,DE	4336163 	4325665 	4467022 	4773359 	4842716 	4684570.8 	4497805.1 	5289724 	4938859.1 	4592645.6 	4687640.8 	4767354.1 
A,T,FRM_LD_NLD,TOT,TOTAL,DK	208590 	210570 	200133 	235937 	242068 	244997 	181967 	246912 	265889 	252198 	296268 	266125 
A,T,FRM_LD_NLD,TOT,TOTAL,EE	19432 	16034 	13868 	11232.9 	11474.6 	10865.6 	9131.7 	10533.1 	10789.1 	8349.1 	9287.8 	: 
A,T,FRM_LD_NLD,TOT,TOTAL,EL	60324.4 	62331.9 	69949.5 	69073.6 	96889.2 	105403.4 	72990.4 	108850.4 	116835.1 	84705 	110456.3 	: 
A,T,FRM_LD_NLD,TOT,TOTAL,ES	593902 	594393 	639237 	742442.5 	806518.3 	815612.4 	599930.3 	782676.9 	954328.8 	1036833.7 	1235060.1 	1327075.5 
A,T,FRM_LD_NLD,TOT,TOTAL,EU27_2020	12377851.1 	12524664.1 	12979930.9 	13954132.4 	14243667.3 	13739927.9 	12426326.6 	15045040 	13958503.9 	13156076.6 	14293753.8 	: 
A,T,FRM_LD_NLD,TOT,TOTAL,FI	190586.3 	182089 	186470.8 	188721.6 	196809.5 	225242.3 	146547.4 	178606.1 	160726.7 	175259.2 	182477.6 	183182.7 
A,T,FRM_LD_NLD,TOT,TOTAL,FR	2361510.1 	2380931.3 	2401593 	2450326.1 	2407878.2 	2371614.1 	1938349 	2278630.1 	2139178.3 	2123148.6 	2188481.6 	: 
A,T,FRM_LD_NLD,TOT,TOTAL,HR	6908 	7189 	7691 	9510 	11934 	10846 	7638 	8775 	9723 	9153 	10914 	: 
A,T,FRM_LD_NLD,TOT,TOTAL,HU	61970 	65783 	77534.7 	87276.6 	101411.2 	95590.2 	88872.4 	125901.2 	133831.6 	142748.9 	236862.3 	365622.5 
A,T,FRM_LD_NLD,TOT,TOTAL,IE	138202.9 	148713.5 	145768.7 	163123.2 	156264.7 	144140.8 	136802.6 	155226.6 	156941.3 	166118.1 	189339.9 	: 
A,T,FRM_LD_NLD,TOT,TOTAL,IS	41908 	44664 	48459.1 	55983.7 	56889.4 	55099.9 	49278 	57068.8 	55877.4 	61666.2 	60244.3 	32367.6 
A,T,FRM_LD_NLD,TOT,TOTAL,IT	876495 	916755 	991688 	1077874 	1066221 	1021941 	776205 	1016347 	1033956 	1018874 	1173376 	: 
A,T,FRM_LD_NLD,TOT,TOTAL,LT	13210 	14904 	14244.6 	15064.4 	16779 	17211.5 	19819.8 	19830.1 	20740.2 	19821 	21570.6 	20460.2 
A,T,FRM_LD_NLD,TOT,TOTAL,LU	707150 	736879.8 	801058 	892660 	895004 	853030 	905397 	1088016 	969105 	794328 	825369 	817712 
A,T,FRM_LD_NLD,TOT,TOTAL,LV	31439 	16809 	17922 	21203.6 	24627.7 	25865.7 	19246.8 	27062.3 	20123.4 	18349.6 	17847.8 	19657.6 
A,T,FRM_LD_NLD,TOT,TOTAL,ME	: 	: 	898.3 	869 	914.7 	871.6 	337.2 	466.6 	419.5 	608.7 	709.3 	: 
A,T,FRM_LD_NLD,TOT,TOTAL,MK	: 	2647 	2939 	2820 	3298 	3407 	2132 	3039 	2635 	2723 	5236.2 	: 
A,T,FRM_LD_NLD,TOT,TOTAL,MT	15602 	16405.4 	15690.3 	16194.4 	17677.1 	12209.6 	13444.2 	15998 	17551.6 	20644.3 	23624.5 	: 
A,T,FRM_LD_NLD,TOT,TOTAL,NL	1727454.8 	1712031.3 	1831791.8 	1865105.5 	1840418.8 	1703556.1 	1591388.6 	1807924.4 	1553481.8 	1416215.3 	1527761.4 	1478495 
A,T,FRM_LD_NLD,TOT,TOTAL,NO	116390 	127698 	127745 	169295 	174840 	187379 	176298 	194435 	173035 	160462 	204629 	: 
A,T,FRM_LD_NLD,TOT,TOTAL,PL	84386.2 	92690 	107880.3 	121303.2 	134673.1 	143109.5 	111278.6 	143385 	201957.3 	208831.1 	201246.8 	: 
A,T,FRM_LD_NLD,TOT,TOTAL,PT	134982 	133416 	136578 	164732 	173493 	194214 	133074.8 	174997.5 	206167.1 	206288.3 	236784.3 	: 
A,T,FRM_LD_NLD,TOT,TOTAL,RO	31113 	33399 	37456 	41692 	45310 	44217 	38769 	39033 	47636 	46759 	48703 	: 
A,T,FRM_LD_NLD,TOT,TOTAL,RS	: 	: 	9914 	22350 	27375.1 	22659.1 	16751.7 	14847.9 	13647.1 	15388.7 	18752 	: 
A,T,FRM_LD_NLD,TOT,TOTAL,SE	141887 	146287 	147214 	159129.9 	158632.4 	162743.4 	132083 	154596.2 	146498.6 	126598.4 	140881.9 	: 
A,T,FRM_LD_NLD,TOT,TOTAL,SI	8563 	8891 	8970 	12024.5 	12337.3 	11357.8 	10552.6 	11381.5 	12467.7 	11429.1 	12350.6 	11903.3 
A,T,FRM_LD_NLD,TOT,TOTAL,SK	18498 	21216 	23028 	27188.3 	24564.8 	20525.3 	24772.1 	19644.2 	18060.9 	11085.8 	11162.4 	18977.8 
A,T,FRM_LD_NLD,TOT,TOTAL,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	1639363.1 	2129380.9 	: 
A,T,FRM_LD_NLD,TOT,TOTAL,UK	2406673 	2405225 	2511011 	2738784 	2748539 	2650232.3 	: 	: 	: 	: 	: 	: 
